paper_table,domain,model,reward,f1,perplexity,bleu,nist,meteor,rouge2_f1,dialogue_length,politeness,success_rate,fluency,informativeness,politeness_adaptability,diversity
4,flights,PC,,0.92,,,,,,,,,,,,
4,flights,G,,,1.912,0.052,0.186,0.641,0.472,,,,,,,
4,food-ordering,PC,,0.96,,,,,,,,,,,,
4,food-ordering,G,,,1.698,0.050,0.214,0.758,0.452,,,,,,,
4,hotels,PC,,0.94,,,,,,,,,,,,
4,hotels,G,,,1.972,0.065,0.207,0.664,0.504,,,,,,,
4,movies,PC,,0.95,,,,,,,,,,,,
4,movies,G,,,2.137,0.039,0.1618,0.654,0.469,,,,,,,
4,music,PC,,0.93,,,,,,,,,,,,
4,music,G,,,2.367,0.037,0.133,0.555,0.379,,,,,,,
4,restaurant-search,PC,,0.95,,,,,,,,,,,,
4,restaurant-search,G,,,2.156,0.047,0.162,0.669,0.494,,,,,,,
4,sports,PC,,0.92,,,,,,,,,,,,
4,sports,G,,,1.762,0.018,0.069,0.739,0.585,,,,,,,
5,flights,GenPADS,BL,,,,,0.627,0.511,10.8,0.587,0.67,,,,
5,flights,RetrievalPADS,BL,,,,,0.999,0.999,11.1,0.674,0.67,,,,
5,flights,DG,,,6.18,0.038,0.132,0.127,0.059,,,,,,,
5,flights,GenPADS,PRRP,,,,,0.721,0.543,10.7,0.851,0.79,,,,
5,flights,RetrievalPADS,PRRP,,,,,0.999,0.999,10.3,0.842,0.77,,,,
5,food-ordering,GenPADS,BL,,,,,0.668,0.506,13.8,0.656,0.69,,,,
5,food-ordering,RetrievalPADS,BL,,,,,0.999,0.999,12.9,0.597,0.686,,,,
5,food-ordering,DG,,,3.05,0.027,0.172,0.387,0.345,,,,,,,
5,food-ordering,GenPADS,PRRP,,,,,0.642,0.444,11.5,0.936,0.86,,,,
5,food-ordering,RetrievalPADS,PRRP,,,,,0.999,0.999,12.6,0.908,0.84,,,,
5,hotels,GenPADS,BL,,,,,0.665,0.462,10.9,0.849,0.74,,,,
5,hotels,RetrievalPADS,BL,,,,,0.999,0.999,12.8,0.804,0.71,,,,
5,hotels,DG,,,7.15,0.087,0.261,0.146,0.078,,,,,,,
5,hotels,GenPADS,PRRP,,,,,0.709,0.573,9.9,0.893,0.82,,,,
5,hotels,RetrievalPADS,PRRP,,,,,0.999,0.999,10.3,0.864,0.82,,,,
5,movies,GenPADS,BL,,,,,0.701,0.446,9.9,0.744,0.77,,,,
5,movies,RetrievalPADS,BL,,,,,0.999,0.999,11.8,0.694,0.74,,,,
5,movies,DG,,,7.45,0.015,0.058,0.146,0.086,,,,,,,
5,movies,GenPADS,PRRP,,,,,0.700,0.407,9.5,0.888,0.84,,,,
5,movies,RetrievalPADS,PRRP,,,,,0.999,0.999,9.7,0.865,0.83,,,,
5,music,GenPADS,BL,,,,,0.525,0.330,9.7,0.910,0.71,,,,
5,music,RetrievalPADS,BL,,,,,0.999,0.999,9.6,0.881,0.71,,,,
5,music,DG,,,11.4,0.007,0.33,0.231,0.156,,,,,,,
5,music,GenPADS,PRRP,,,,,0.440,0.237,9.4,0.959,0.86,,,,
5,music,RetrievalPADS,PRRP,,,,,0.999,0.999,9.4,0.921,0.84,,,,
5,restaurant-search,GenPADS,BL,,,,,0.739,0.446,9.5,0.418,0.79,,,,
5,restaurant-search,RetrievalPADS,BL,,,,,0.999,0.999,11.7,0.381,0.75,,,,
5,restaurant-search,DG,,,8.46,0.046,0.153,0.165,0.089,,,,,,,
5,restaurant-search,GenPADS,PRRP,,,,,0.709,0.467,8.5,0.920,0.82,,,,
5,restaurant-search,RetrievalPADS,PRRP,,,,,0.999,0.999,9.7,0.940,0.78,,,,
5,sports,GenPADS,BL,,,,,0.541,0.328,11.3,0.806,0.64,,,,
5,sports,RetrievalPADS,BL,,,,,0.999,0.999,13.6,0.795,0.64,,,,
5,sports,DG,,,5.14,0.007,0.032,0.270,0.163,,,,,,,
5,sports,GenPADS,PRRP,,,,,0.657,0.418,10.9,0.948,0.81,,,,
5,sports,RetrievalPADS,PRRP,,,,,0.999,0.999,11.5,0.915,0.79,,,,
6,all-domains,GenPADS,BL,,,,,,,,,,3.87,3.32,3.18,3.54
6,all-domains,GenPADS,PRRP,,,,,,,,,,4.16,3.87,4.08,3.91
